name,order,user,companions,num_people,park,region,province,country,distance,elevation_gain,start_date,end_date,max_temp,min_temp,rain,snow,summer_temp,winter_temp,annual_rain,annual_snow,route_type,lat,lng,forest,lake,river,waterfall,beach,historic_site,cave,hot_spring,difficulty,rating,status,route_source,route
Mini Bruce,29.0,Jamie,solo,1.0,Frontenac,Ottawa Valley,Ontario,Canada,14.7,150.0,,,22.114075799636844,13.24198277638103,2.0764383561643833,0.0,25.2,-16.2,757.9,177.6,out and back,45.227,-81.48100000000002,1,1,0,0,0,0,0,0,4.495182161943671,4.199918987354523,1,komoot,"https://www.komoot.com/plan/tour/d01ArIdGvsks-Q=FxhcCt_RYdusl0mrpXDtPW5uigA=/@45.2384772,-81.4974402,12.619z"
Mama Maitland,29.0,Jamie,solo,1.0,Falls Reserve,Huron,Ontario,Canada,13.6,180.0,,,23.99618853785956,15.124095514603747,2.447123287671233,0.0,27.5,-16.2,893.2,150.4,out and back,43.773999999999994,-81.541,1,0,1,1,0,0,0,0,4.800809796524351,4.276622245698866,1,komoot,"https://www.komoot.com/plan/tour/d01ApsxBPsibkc=Fwf8Ehd4YSnB0JSOei7aOtA=/@43.7236932,-81.6356077,13.004z"
Pollett's Cove,29.0,Jamie,solo,1.0,Cape Breton Highlands,Cape Breton,Nova Scotia,Canada,13.2,830.0,,,21.6042164825341,12.732123459278286,2.3706849315068492,0.0,23.6,-11.8,865.3,304.1,out and back,46.87300000000001,-60.743,1,0,1,0,1,0,0,0,6.089398405918015,4.245498676666148,1,alltrails,https://www.alltrails.com/trail/canada/nova-scotia/polletts-cove?ref=result-card
Smokey Head,29.0,Jamie,solo,1.0,Smokey Head,Bruce Peninsula,Ontario,Canada,13.2,200.0,,,22.214075799636845,13.341982776381032,2.043835616438356,0.0,25.3,-16.1,746.0,158.5,loop,45.02,-81.28399999999998,1,1,0,0,0,0,0,0,4.8056947061496285,4.02355301420066,1,komoot,"https://www.komoot.com/plan/tour/d01ArAPc_sn4qY=FtiABJBX2lpYce2POLG7jlA=/@45.0707935,-81.2413678,11.538z"
Bach's Lookout,29.0,Jamie,solo,1.0,Charleston Lake,Ottawa Valley,Ontario,Canada,12.7,260.0,,,25.66956895739689,16.797475934141076,2.426027397260274,0.0,30.1,-18.7,885.5,126.4,loop,44.504,-76.038,1,1,0,0,1,0,0,0,6.225535602034065,4.0859332410803875,1,alltrails,https://www.alltrails.com/explore/recording/afternoon-hike-at-tallow-rock-trail-cf2ee7d
Peat Mountain Trail,29.0,Jamie,solo,1.0,Lake Superior,Northern Ontario,Ontario,Canada,9.4,260.0,,,19.860695763909334,10.988602740653524,1.922739726027397,0.0,24.6,-25.9,701.8,202.6,out and back,47.751999999999995,-84.82600000000002,1,1,0,0,0,0,0,0,5.9199814129301425,4.153813162922549,1,komoot,"https://www.komoot.com/plan/tour/d01Atij5_rxocY=FxeABNlw8AKfg1b3ygA=/@47.7459854,-84.8486876,13.227z"
Bon Echo (L1 + L2),29.0,Jamie,solo,1.0,Bon Echo,Ottawa Valley,Ontario,Canada,8.9,70.0,,,25.124498615948262,16.252405592692448,2.0564383561643838,0.0,30.1,-21.7,750.6,158.3,loop,44.902,-77.24600000000002,1,1,0,0,0,0,0,0,4.612713439858138,3.736543090385008,1,komoot,"https://www.komoot.com/plan/tour/d01Aq0ocPtlU1Q=FwhsBmAHqo_ukBHiqUXTU0A=/@44.9142399,-77.2431496,12.451z"
Montgomery Loop,29.0,Jamie,solo,1.0,Queen Elizabeth II,Kawartha,Ontario,Canada,8.5,50.0,,,24.806329604566642,15.934236581310829,2.3638356164383563,0.0,29.8,-22.1,862.8,148.3,loop,44.83,-79.058,1,1,1,1,0,0,0,0,4.784024481263329,4.162857088644781,1,komoot,"https://www.komoot.com/plan/tour/d01AqwbEPtJp7w=FwgABIYD83wXPDTmygA=/@44.8377399,-79.0420910,12.681z"
Charleston Little Loop,29.0,Jamie,solo,1.0,Charleston Lake,Ottawa Valley,Ontario,Canada,6.3,40.0,,,25.478723900488788,16.606630877232973,2.4021917808219175,0.0,30.0,-19.3,876.8,125.1,loop,44.518,-76.02199999999998,1,1,0,0,0,0,0,0,3.558809778621436,4.105113187998443,1,komoot,"https://www.komoot.com/plan/tour/d01AqdJ6ft3_78=FueABItGOaCYbfYAhCnoOIdfm-zPp_qQjGiLToA=/@44.5161896,-76.0162715,13.630z"
Flowerpot Island Loop,29.0,Jamie,solo,1.0,Fathom Five,Bruce Peninsula,Ontario,Canada,5.8,50.0,,,20.9137940500325,12.04170102677669,2.0871232876712327,0.0,23.6,-15.6,761.8,177.7,loop,45.299,-81.617,1,1,0,0,0,1,1,0,3.365295408963587,4.11804429284707,1,komoot,"https://www.komoot.com/plan/tour/d01ArM1Q_sintI=FvfsBNMq6z5Q_YnNhbxQOOq7Q6gZw3qePAIsOrh2cZ74QNbo/@45.2998030,-81.6152390,14.793z"
Logging Museum,29.0,Jamie,solo,1.0,Algonquin,Muskoka,Ontario,Canada,1.3,10.0,,,23.697174661474747,14.825081638218935,1.944931506849315,0.0,28.6,-22.8,709.9,190.3,loop,45.545,-78.263,1,0,0,0,0,1,0,0,1.9281851479367396,4.002492503203923,1,komoot,"https://www.komoot.com/plan/tour/d01ArbykPtVzOA=FtaABLPPqQdbFzSg/@45.5438072,-78.2579622,13.519z"
