name,order,user,companions,num_people,park,region,province,country,distance,elevation_gain,start_date,end_date,max_temp,min_temp,rain,snow,summer_temp,winter_temp,annual_rain,annual_snow,route_type,lat,lng,forest,lake,river,waterfall,beach,historic_site,cave,hot_spring,difficulty,rating,status,route_source,route
Laugavegur,29.0,Jamie,solo,1.0,Icelandic Highlands,Icelandic Highlands,Sudurland,Iceland,79.5,2960.0,,,13.576188154049731,4.70409513079392,9.320547945205478,0.0,14.5,-15.0,680.4,454.2,point to point,63.99100000000001,-19.06,0,1,1,1,0,0,0,1,6.515385504682663,4.425531847143634,1,alltrails,https://www.alltrails.com/trail/iceland/southern/laugavegur-and-fimmvorduhals-trails
Cranberry Lake 50,29.0,Jamie,solo,1.0,Cranberry Lake,Adirondacks,New York,USA,79.2,930.0,,,23.497033786672574,14.624940763416761,14.998630136986302,0.0,28.2,-22.1,1094.9,213.6,loop,44.132,-74.92,1,1,1,1,0,0,0,0,5.921391981900045,4.092074140534004,1,komoot,"https://www.komoot.com/plan/tour/d11AqFtaPuI41U=FylsExxfaRzuS2mGLD04KURYW7OmdNTVpSPlAA==/@44.1455629,-74.8160510,10.034z"
West Coast Trail,29.0,Jamie,solo,1.0,Vancouver Island,Vancouver Island,British Columbia,Canada,75.0,1510.0,,,23.66646971174916,14.794376688493346,25.264383561643832,0.0,23.7,-0.9,1844.3,19.0,point to point,48.577,-124.417,1,0,1,1,1,1,1,0,6.239310360592342,4.098682984136287,1,alltrails,https://www.alltrails.com/trail/canada/british-columbia/west-coast-trail-north-to-south
Full Western Uplands,29.0,Jamie,solo,1.0,Algonquin,Muskoka,Ontario,Canada,73.1,940.0,,,23.29717466147475,14.425081638218936,10.615068493150684,0.0,28.2,-23.2,774.9,200.5,loop,45.463,-78.798,1,1,1,0,0,0,0,0,6.178274889042306,3.730568823222765,1,komoot,"https://www.komoot.com/plan/tour/d01ArW3F_tNo-U=FynsEzL3ippBkCv-kPyRHnzQ/@45.5389051,-78.8226251,9.843z"
Lake Superior Coast,29.0,Jamie,solo,1.0,Lake Superior,Northern Ontario,Ontario,Canada,70.4,660.0,,,19.323653367135243,10.451560343879434,8.901917808219178,0.0,23.1,-22.1,812.3,214.1,point to point,47.559,-84.949,1,1,1,1,1,0,1,0,6.075654995929216,4.107138192415182,1,komoot,"https://www.komoot.com/plan/tour/d01AtTTTfrwxco=Fyl4BMHk7dgkPGSyTInMPRWA/@47.5527335,-84.9065954,10.100z"
Pukaskwa Coast,29.0,Jamie,solo,1.0,Pukaskwa,Northern Ontario,Ontario,Canada,59.5,730.0,,,18.905766105357962,10.033673082102153,4.918356164383561,0.0,23.1,-24.4,598.4,174.7,point to point,48.591,-86.29,1,1,1,1,1,0,0,0,6.124870837259945,3.9941200927873286,1,komoot,"https://www.komoot.com/plan/tour/d01AuVwIfrbUHQ=Fzp4BiwLCjiMrfNTHAA=/@48.3981206,-86.0771330,8.161z"
North Driver Trail,29.0,Jamie,solo,1.0,Jacques-Cartier,Qubec City,Quebec,Canada,55.1,870.0,,,22.060836638711507,13.188743615455694,8.102465753424656,0.0,27.0,-24.6,985.8,262.3,out and back,47.174,-71.369,1,0,1,1,0,0,0,0,6.207276430322682,4.234886777841618,1,komoot,"https://www.komoot.com/plan/tour/d11As_VLvu-_i4=Fyn0BlRb6KpmDHTZRAONCrAH_HD1UEkswr0GYEI-G6A=/@47.3211407,-71.4508544,11.313z"
Ganaraska Trail,29.0,Jamie,solo,1.0,Queen Elizabeth II,Kawartha,Ontario,Canada,53.1,220.0,,,24.806329604566642,15.934236581310829,7.091506849315067,0.0,29.8,-22.1,862.8,148.3,out and back,44.83,-79.058,1,1,1,1,0,0,0,0,6.219675587184454,4.232783069901837,1,komoot,"https://www.komoot.com/plan/tour/d01AqwXrvtJp3Q=FzjYDEoHgh67B0XRN5scGWt3cqA=/@44.8444508,-78.9578155,11.159z"
Maitland Trail,29.0,Jamie,solo,1.0,Falls Reserve,Huron,Ontario,Canada,50.2,460.0,,,23.750554697202254,14.878461673946441,7.347945205479451,0.0,27.0,-15.3,894.0,157.5,point to point,43.725,-81.62899999999998,1,0,1,1,1,1,0,0,6.047846446193661,4.3075816664714415,1,komoot,"https://www.komoot.com/plan/tour/d01Apvvn_sjx8I=FyiABPa9VYLjqd1KA450IqXlNv4prAgA/@43.7218663,-81.5688149,10.479z"
Silver Peak,29.0,Jamie,solo,1.0,Killarney,Northern Ontario,Ontario,Canada,44.1,1190.0,,,20.85083644680659,11.97874342355078,3.77972602739726,0.0,24.5,-20.0,689.8,152.4,out and back,46.044,-81.324,1,1,0,0,0,0,0,0,6.441885146550043,4.101692167319698,1,komoot,"https://www.komoot.com/plan/tour/d01Ar6Ta_snFuk=FxkABKRK0F9T97__8ug=/@46.0821155,-81.3097706,10.838z"
Deep Elizabeth Wildlands,29.0,Jamie,solo,1.0,Queen Elizabeth II,Kawartha,Ontario,Canada,38.3,190.0,,,24.806329604566642,15.934236581310829,4.7276712328767125,0.0,29.8,-22.1,862.8,148.3,loop,44.83,-79.058,1,1,1,1,0,0,0,0,5.2306416319811335,4.15687618098792,1,komoot,https://www.ontarioparks.com/pdf/maps/queenelizabeth2wildlands/qe2-backcountry-hiking-canoe-routes.pdf
Bruce Trail Sink Hole,29.0,Jamie,solo,1.0,Bruce Peninsula,Bruce Peninsula,Ontario,Canada,38.2,300.0,,,21.250272947597914,12.378179924342101,4.174246575342465,0.0,24.1,-16.0,761.8,177.7,out and back,45.227,-81.48100000000002,1,1,0,0,0,0,0,0,5.803235193493434,4.215205566354607,1,komoot,"https://www.komoot.com/plan/tour/d01ArIdE_sktV0=FyfsEytMeJR7KNp6pfhJhwQ6t6NPzgD4oA==/@45.2286601,-81.4918657,11.431z"
Heaven's Gate Trail,29.0,Jamie,solo,1.0,La Cloche,Northern Ontario,Ontario,Canada,38.0,1320.0,,,22.633371809435822,13.761278786180009,4.410958904109589,0.0,27.3,-22.8,805.0,158.1,point to point,46.113,-82.07600000000002,1,1,1,0,0,0,0,0,6.44971184579153,4.14185035904616,1,alltrails,https://www.alltrails.com/trail/canada/ontario/heavens-gate-trail
Mount Skylight,29.0,Jamie,solo,1.0,High Peaks,Adirondacks,New York,USA,37.6,1540.0,,,23.124357741146092,14.252264717890279,5.183561643835617,0.0,27.9,-22.8,946.0,201.7,out and back,44.089,-74.056,1,1,1,0,0,0,0,0,6.241189797586968,4.199394394729255,1,komoot,"https://www.komoot.com/plan/tour/d01AqCztfuWAJk=FyhYE2nrpPLTmb25kxB7mM77k82Cj7zQ/@44.0978395,-73.9760913,11.197z"
Long Range Traverse,29.0,Jamie,solo,1.0,Gros Morne,Gros Morne,Newfoundland,Canada,36.5,1720.0,,,19.822526368717888,10.950433345462075,5.218082191780821,0.0,22.0,-14.4,952.3,380.3,point to point,49.715,-57.663000000000004,1,1,1,1,0,0,0,0,6.714448575679813,4.24037556287695,1,alltrails,https://www.alltrails.com/trail/canada/newfoundland-and-labrador/northern-long-range-traverse-and-gros-morne-mountain
Presidential Range,29.0,Jamie,solo,1.0,White Mountains,New Hampshire,New Hampshire,USA,36.2,2220.0,,,21.497033786672574,12.624940763416761,5.532602739726028,0.0,26.2,-24.1,1009.7,249.3,point to point,44.28100000000001,-71.253,1,1,1,1,0,0,0,0,6.551936471713224,4.201128895714934,1,komoot,"https://www.komoot.com/plan/tour/d01AqOu2_vAwwI=Fwj4BVJBLiTALlAwWLQd_pAD1P9U6_8AeAXEndQIp7g3AW0VgRg48PoABHv7Ms_a3DVkBd13AQRoKWHu8qqAQRoaWzoaM1ACaaZNNkhvOnWbCuekt53cnge-RDGRRouA/@44.2634185,-71.2779426,10.113z"
Skjeggedal,29.0,Jamie,solo,1.0,Norway,Norway,Norway,Norway,35.0,1540.0,,,20.040695380099507,11.168602356843694,7.0449315068493155,0.0,22.2,-14.1,1285.7,757.0,loop,60.133,6.6270000000000024,0,1,0,0,0,0,0,0,6.477733462388564,4.118587070529213,1,komoot,"https://www.komoot.com/plan/tour/d01A5WOfwBlHb0=FyiABKJw4hDSRAtVm2g=/@60.1201475,6.7341635,10.003z"
Highland Trail,29.0,Jamie,solo,1.0,Algonquin,Muskoka,Ontario,Canada,35.0,460.0,,,23.35182257042178,14.479729547165968,3.9978082191780824,0.0,28.4,-23.8,729.6,197.2,loop,45.573,-78.525,1,1,1,1,0,0,0,0,6.047044160164375,3.855960902880899,1,komoot,"https://www.komoot.com/plan/tour/d01ArdkS_tRzXU=Fxj4BNnDJ2klWanxmixjlYnE05KEUGOPE3Wg/@45.5428625,-78.5013269,11.480z"
Beausoleil Island Tour,29.0,Jamie,solo,1.0,Georgian Bay Islands,Muskoka,Ontario,Canada,34.9,180.0,,,24.323935116739584,15.451842093483771,4.601643835616438,0.0,28.5,-18.9,839.8,162.1,loop,44.888999999999996,-79.855,1,1,0,0,1,1,0,0,4.673959820158838,4.10083609569432,1,komoot,"https://www.google.ca/maps/dir/Oaks+Campground/44.8999161,-79.8528078/Oaks+Campground/44.889911,-79.8787241/Oaks+Campground/Beausoleil+Island+Lighthouse/Pointe+Beausoleil/Oaks+Campground/44.8520309,-79.862205/@44.8667116,-79.8935928,18886m/data=!3m2!1e3!4b1!4m71!4m70!1m10!1m1!1s0x4d2ae6fc8867be3b:0xd0e905360601506c!2m2!1d-79.854972!2d44.889549!3m4!1m2!1d-79.8395006!2d44.8871106!3s0x4d2ae656ebc56427:0x437742477f44509f!1m0!1m5!1m1!1s0x4d2ae6fc8867be3b:0xd0e905360601506c!2m2!1d-79.854972!2d44.889549!1m5!3m4!1m2!1d-79.8715178!2d44.885708!3s0x4d2ae6de0dcbd933:0x561492db1678a004!1m5!1m1!1s0x4d2ae6fc8867be3b:0xd0e905360601506c!2m2!1d-79.854972!2d44.889549!1m5!1m1!1s0x4d2ae74193557b55:0x5dbef56226858507!2m2!1d-79.8757477!2d44.877077!1m10!1m1!1s0x4d2adddb88603755:0x1ec3ee6ba1339cd6!2m2!1d-79.871741!2d44.828809!3m4!1m2!1d-79.8698172!2d44.8486745!3s0x4d2add8712ac775d:0x55ed5621de353049!1m20!1m1!1s0x4d2ae6fc8867be3b:0xd0e905360601506c!2m2!1d-79.854972!2d44.889549!3m4!1m2!1d-79.8620848!2d44.8564333!3s0x4d2ae779975a1b93:0x5244db38429bfcf6!3m4!1m2!1d-79.8632558!2d44.8564391!3s0x4d2ae7798f707d7f:0x880cbd300993ed4a!3m4!1m2!1d-79.8631814!2d44.8556208!3s0x4d2ae77982fb8bbd:0x5a5a116c49982ed2!1m0!3e2"
Maggie Lake Loop,29.0,Jamie,solo,1.0,Algonquin,Muskoka,Ontario,Canada,32.6,470.0,,,23.29717466147475,14.425081638218936,2.123013698630137,0.0,28.2,-23.2,774.9,200.5,loop,45.463,-78.798,1,1,1,0,0,0,0,0,5.991931953824809,3.7966823662121247,1,komoot,"https://www.komoot.com/plan/tour/d11ArW3F_tNo-U=FyjsEzL3ipzKcSKsdfHOS70A/@45.4802683,-78.8228851,11.615z"
Slide Lake Loop,29.0,Jamie,solo,1.0,Frontenac,Ottawa Valley,Ontario,Canada,31.3,190.0,,,25.324216866343924,16.45212384308811,2.370958904109589,0.0,29.9,-19.7,865.4,127.8,loop,44.519,-76.541,1,1,0,0,0,1,0,0,5.209170788084428,4.086725446484725,1,komoot,"https://www.komoot.com/plan/tour/d01AqdGaPtwCIY=FxhQBjrreNx7RLzxwD3biKTUr4CD2zceDqxVYCqA/@44.5208741,-76.5049345,11.647z"
Calabogie Loop,29.0,Jamie,solo,1.0,Calabogie,Ottawa Valley,Ontario,Canada,31.1,640.0,,,25.579146524895293,16.70705350163948,1.9956164383561643,0.0,30.7,-21.9,728.4,157.2,loop,45.272,-76.779,1,1,1,0,1,0,0,0,6.747343572140988,4.088036949020169,1,komoot,"https://www.komoot.com/plan/tour/d11ArLX4ftsa-Y=Fxj4Erfx6YlUHp-uYH5b1nZaSM6CYW7nulA=/@45.2485779,-76.8030793,11.230z"
